sound_id,source_filename,display_name,source_url,rightsholder_or_creator,license_or_permission,commercial_redistribution_allowed,attribution_required,content_rating_notes,trademark_or_personality_notes,status,reviewed_on,reviewed_by
buzzer,buzzer.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
chicken_scream,chicken-on-tree-screaming.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
core_effect,core-sound-effect.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
crickets,crickets.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
door_knock,door_knocking.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
drum_roll,drum_roll.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
emotional_damage,Emotional_Damage.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Recognizable voice clip,approved_by_owner,2026-07-11,owner
fbi_open_up,fbi_open_up.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Recognizable voice clip,approved_by_owner,2026-07-11,owner
gta_wasted,gta-v-wasted.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Game audio/trademark,approved_by_owner,2026-07-11,owner
john_cena,His_name_is_John_Cena.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Music celebrity voice trademark,approved_by_owner,2026-07-11,owner
minecraft_hurt,minecraft_hurt.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Game audio/trademark,approved_by_owner,2026-07-11,owner
money,money.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
roblox_oof,roblox_oof.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Game audio/trademark,approved_by_owner,2026-07-11,owner
sad_violin,Sad_Violin.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Music recording,approved_by_owner,2026-07-11,owner
school_bell,school_bell.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
short_rizz,short_rizz.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,none,approved_by_owner,2026-07-11,owner
prowler,spiderman_prowler.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Character game music,approved_by_owner,2026-07-11,owner
spooderman,Spooderman.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Character/trademark resemblance,approved_by_owner,2026-07-11,owner
undertaker_bell,the-undertaker-bell.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Celebrity and theme music,approved_by_owner,2026-07-11,owner
ultra_suspense,ultra_suspense.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Music recording,approved_by_owner,2026-07-11,owner
uwu,uWu.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
whip,whip.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
why_are_you_running,Why_are_you_running.mp3,,,Owner confirmed commercial redistribution permission,true,,Review store rating,Recognizable voice clip,approved_by_owner,2026-07-11,owner
womp_womp,womp-womp-womp.mp3,,,Owner confirmed commercial redistribution permission,true,,None,none,approved_by_owner,2026-07-11,owner
